fichier,sku,type
0900.dwg,0900,dwg
0900.dxf,0900,dxf
1000-2D.dwg,1000,dwg
1000.dxf,1000,dxf
1005.dxf,1005,dxf
Moulures - 1101H.dwg,1101h,dwg
Moulures - 1102.dwg,1102,dwg
1145C-2D.dwg,1145c,dwg
1145C-pièce.dxf,1145c,dxf
20-54.dwg,20-54,dwg
20-54.dxf,20-54,dxf
TAL26 plan.step,TAL26,step
D505-sansmotif.stp,D505,step
D550 sans motif.stp,D550,step
D712 sans motif.stp,D712,step
