sku_ou_fichier,insunits,motif
M404,5,P16B_deduit_par_recoupement_catalogue: dim_native=104.0096 x facteur=10.0 = 1040.096mm vs catalogue=1040.000mm (ecart 0.01%)
D515,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
M604,5,P16B_deduit_par_recoupement_catalogue: dim_native=158.0000 x facteur=10.0 = 1580.000mm vs catalogue=1580.000mm (ecart 0.00%)
D748,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D658,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1200,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
1221,5,P16B_deduit_par_recoupement_catalogue: dim_native=10.3232 x facteur=10.0 = 103.232mm vs catalogue=105.000mm (ecart 1.68%)
1343,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
D520,5,P16B_deduit_par_recoupement_catalogue: dim_native=175.0000 x facteur=10.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
D899,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0034 x facteur=10.0 = 2000.034mm vs catalogue=2000.000mm (ecart 0.00%)
1310,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
D752,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D627,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
3904,4,P16B_deduit_par_recoupement_catalogue: dim_native=1008.6250 x facteur=1.0 = 1008.625mm vs catalogue=1000.000mm (ecart 0.86%)
D633,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D712,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1344,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
1209,5,P16B_deduit_par_recoupement_catalogue: dim_native=175.0000 x facteur=10.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
1105,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
D702,5,P16B_deduit_par_recoupement_catalogue: dim_native=175.0000 x facteur=10.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
D616,4,P16B_deduit_par_recoupement_catalogue: dim_native=1750.0000 x facteur=1.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
D650,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
M209,4,P16B_deduit_par_recoupement_catalogue: dim_native=640.0000 x facteur=1.0 = 640.000mm vs catalogue=640.000mm (ecart 0.00%)
D540,5,P16B_deduit_par_recoupement_catalogue: dim_native=175.0000 x facteur=10.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
D703,5,P16B_deduit_par_recoupement_catalogue: dim_native=175.0000 x facteur=10.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
1345,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D814,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D628,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D578,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
CL1213D,4,P16B_deduit_par_recoupement_catalogue: dim_native=1803.8943 x facteur=1.0 = 1803.894mm vs catalogue=1800.000mm (ecart 0.22%)
M401P,5,P16B_deduit_par_recoupement_catalogue: dim_native=120.0000 x facteur=10.0 = 1200.000mm vs catalogue=1200.000mm (ecart 0.00%)
1151,5,P16B_deduit_par_recoupement_catalogue: dim_native=165.0020 x facteur=10.0 = 1650.020mm vs catalogue=1650.000mm (ecart 0.00%)
D606,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
D889,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0152 x facteur=10.0 = 2000.152mm vs catalogue=2000.000mm (ecart 0.01%)
D897,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.1209 x facteur=10.0 = 2001.209mm vs catalogue=2000.000mm (ecart 0.06%)
D810,4,P16B_deduit_par_recoupement_catalogue: dim_native=1999.9999 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
