sku,fichier,mapping_absent,statut,nb_sommets,bbox_w_mm,bbox_h_mm,hauteur_mur_mm,projection_plafond_mm,motif_type,motif_periode_mm,insunits,proposition_unite,proposition_motif,message
1102BH,1102BH.stl,True,OK,186,17.099,70.707,69.717,6.572,variable,208.0,4,,,"Coupe 3D (axe long ratio=0.0575), motif=variable, 186 sommets. Aire min/moy/max sur balayage dense (108 coupes valides / 272): 23.9 / 669.9 / 958.3 mm2."
1202,1202.stl,True,OK,64,22.577,10.361,1.451,1.299,lisse,,4,,,"Coupe 3D (axe long ratio=0.0001), motif=lisse, 64 sommets. Aire min/moy/max sur balayage dense (1440 coupes valides / 1440): 171.6 / 171.6 / 171.6 mm2."
Corniches - D631,Corniches - D631.stl,True,OK,32,108.944,98.025,14.69,15.0,lisse,,4,,,"Coupe 3D (axe long ratio=0.0026), motif=lisse, 32 sommets. Aire min/moy/max sur balayage dense (1920 coupes valides / 1920): 2004.0 / 2004.0 / 2004.0 mm2."
D898,D898.stl,True,OK,232,200.196,300.873,18.092,0.036,variable,45.0,4,,,"Coupe 3D (axe long ratio=0.0108), motif=variable, 232 sommets. Aire min/moy/max sur balayage dense (1921 coupes valides / 1921): 8075.4 / 8668.8 / 8962.5 mm2."
Parements - CL39 et PLINCL12.PC,Parements - CL39 et PLINCL12.PC.stl,True,ERREUR_ORIENTATION,0,,,,,,,4,,,Maillage Parements - CL39 et PLINCL12.PC.stl pas nettement allonge (ratio 2e/1re valeur propre = 0.715 > seuil 0.5). Impossible d'identifier l'axe long avec confiance -> ERREUR_ORIENTATION.
