sku,fichier,mapping_absent,statut,nb_sommets,nb_sommets_dedup_retires,bbox_w_mm,bbox_h_mm,hauteur_mur_mm,projection_plafond_mm,motif_type,motif_periode_mm,nb_solides,unite_ocp,unite_kind_brut,unite_facteur_brut,origine_unite,message
D718,D718.stp,True,OK,22,0,153.405,153.547,50.156,11.602,lisse,,1,MM,CONVERSION_BASED_UNIT,1.0,step_header,"Coupe B-rep exacte (BRepAlgoAPI_Section, axe long ratio=0.0089), motif=lisse, 22 sommets (discretises a 0.15mm de fleche, pas une tessellation du solide). Aire min/moy/max sur balayage dense (960 coupes valides / 960, pas 2.0mm): 3521.0 / 3521.0 / 3521.0 mm2. Unite: step_header (MM)."
D705,D705.stp,True,OK,19,0,101.453,102.661,40.834,51.697,lisse,,1,MM,CONVERSION_BASED_UNIT,1.0,step_header,"Coupe B-rep exacte (BRepAlgoAPI_Section, axe long ratio=0.0037), motif=lisse, 19 sommets (discretises a 0.15mm de fleche, pas une tessellation du solide). Aire min/moy/max sur balayage dense (960 coupes valides / 960, pas 2.0mm): 2111.6 / 2111.6 / 2111.6 mm2. Unite: step_header (MM)."
D720,D720.stp,True,OK,25,0,199.145,202.87,77.613,86.352,lisse,,1,MM,CONVERSION_BASED_UNIT,1.0,step_header,"Coupe B-rep exacte (BRepAlgoAPI_Section, axe long ratio=0.0152), motif=lisse, 25 sommets (discretises a 0.15mm de fleche, pas une tessellation du solide). Aire min/moy/max sur balayage dense (960 coupes valides / 960, pas 2.0mm): 5402.7 / 5402.7 / 5402.7 mm2. Unite: step_header (MM)."
